PassengerId,Survived,Name,Sex,Age,Fare,Embarked_Q,Embarked_S
1,0,"Braund, Mr. Owen Harris",male,22.0,7.25,0,1
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,71.2833,0,0
3,1,"Heikkinen, Miss. Laina",female,26.0,7.925,0,1
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,53.1,0,1
5,0,"Allen, Mr. William Henry",male,35.0,8.05,0,1
6,0,"Moran, Mr. James",male,,8.4583,1,0
7,0,"McCarthy, Mr. Timothy J",male,54.0,51.8625,0,1
8,0,"Palsson, Master. Gosta Leonard",male,2.0,21.075,0,1
9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,11.1333,0,1
10,1,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,30.0708,0,0
11,1,"Sandstrom, Miss. Marguerite Rut",female,4.0,16.7,0,1
12,1,"Bonnell, Miss. Elizabeth",female,58.0,26.55,0,1
13,0,"Saundercock, Mr. William Henry",male,20.0,8.05,0,1
14,0,"Andersson, Mr. Anders Johan",male,39.0,31.275,0,1
15,0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,7.8542,0,1
16,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,16.0,0,1
17,0,"Rice, Master. Eugene",male,2.0,29.125,1,0
18,1,"Williams, Mr. Charles Eugene",male,,13.0,0,1
19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,18.0,0,1
20,1,"Masselmani, Mrs. Fatima",female,,7.225,0,0
21,0,"Fynney, Mr. Joseph J",male,35.0,26.0,0,1
22,1,"Beesley, Mr. Lawrence",male,34.0,13.0,0,1
23,1,"McGowan, Miss. Anna ""Annie""",female,15.0,8.0292,1,0
24,1,"Sloper, Mr. William Thompson",male,28.0,35.5,0,1
25,0,"Palsson, Miss. Torborg Danira",female,8.0,21.075,0,1
26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,31.3875,0,1
27,0,"Emir, Mr. Farred Chehab",male,,7.225,0,0
28,0,"Fortune, Mr. Charles Alexander",male,19.0,263.0,0,1
29,1,"O'Dwyer, Miss. Ellen ""Nellie""",female,,7.8792,1,0
30,0,"Todoroff, Mr. Lalio",male,,7.8958,0,1
31,0,"Uruchurtu, Don. Manuel E",male,40.0,27.7208,0,0
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,146.5208,0,0
33,1,"Glynn, Miss. Mary Agatha",female,,7.75,1,0
34,0,"Wheadon, Mr. Edward H",male,66.0,10.5,0,1
35,0,"Meyer, Mr. Edgar Joseph",male,28.0,82.1708,0,0
36,0,"Holverson, Mr. Alexander Oskar",male,42.0,52.0,0,1
37,1,"Mamee, Mr. Hanna",male,,7.2292,0,0
38,0,"Cann, Mr. Ernest Charles",male,21.0,8.05,0,1
39,0,"Vander Planke, Miss. Augusta Maria",female,18.0,18.0,0,1
40,1,"Nicola-Yarred, Miss. Jamila",female,14.0,11.2417,0,0
41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,9.475,0,1
42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,21.0,0,1
43,0,"Kraeff, Mr. Theodor",male,,7.8958,0,0
44,1,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,41.5792,0,0
45,1,"Devaney, Miss. Margaret Delia",female,19.0,7.8792,1,0
46,0,"Rogers, Mr. William John",male,,8.05,0,1
47,0,"Lennon, Mr. Denis",male,,15.5,1,0
48,1,"O'Driscoll, Miss. Bridget",female,,7.75,1,0
49,0,"Samaan, Mr. Youssef",male,,21.6792,0,0
50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,17.8,0,1
51,0,"Panula, Master. Juha Niilo",male,7.0,39.6875,0,1
52,0,"Nosworthy, Mr. Richard Cater",male,21.0,7.8,0,1
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,76.7292,0,0
54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,26.0,0,1
55,0,"Ostby, Mr. Engelhart Cornelius",male,65.0,61.9792,0,0
56,1,"Woolner, Mr. Hugh",male,,35.5,0,1
57,1,"Rugg, Miss. Emily",female,21.0,10.5,0,1
58,0,"Novel, Mr. Mansouer",male,28.5,7.2292,0,0
59,1,"West, Miss. Constance Mirium",female,5.0,27.75,0,1
60,0,"Goodwin, Master. William Frederick",male,11.0,46.9,0,1
61,0,"Sirayanian, Mr. Orsen",male,22.0,7.2292,0,0
63,0,"Harris, Mr. Henry Birkhardt",male,45.0,83.475,0,1
64,0,"Skoog, Master. Harald",male,4.0,27.9,0,1
65,0,"Stewart, Mr. Albert A",male,,27.7208,0,0
66,1,"Moubarek, Master. Gerios",male,,15.2458,0,0
67,1,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,10.5,0,1
68,0,"Crease, Mr. Ernest James",male,19.0,8.1583,0,1
69,1,"Andersson, Miss. Erna Alexandra",female,17.0,7.925,0,1
70,0,"Kink, Mr. Vincenz",male,26.0,8.6625,0,1
71,0,"Jenkin, Mr. Stephen Curnow",male,32.0,10.5,0,1
72,0,"Goodwin, Miss. Lillian Amy",female,16.0,46.9,0,1
73,0,"Hood, Mr. Ambrose Jr",male,21.0,73.5,0,1
74,0,"Chronopoulos, Mr. Apostolos",male,26.0,14.4542,0,0
75,1,"Bing, Mr. Lee",male,32.0,56.4958,0,1
76,0,"Moen, Mr. Sigurd Hansen",male,25.0,7.65,0,1
77,0,"Staneff, Mr. Ivan",male,,7.8958,0,1
78,0,"Moutal, Mr. Rahamin Haim",male,,8.05,0,1
79,1,"Caldwell, Master. Alden Gates",male,0.83,29.0,0,1
80,1,"Dowdell, Miss. Elizabeth",female,30.0,12.475,0,1
81,0,"Waelens, Mr. Achille",male,22.0,9.0,0,1
82,1,"Sheerlinck, Mr. Jan Baptist",male,29.0,9.5,0,1
83,1,"McDermott, Miss. Brigdet Delia",female,,7.7875,1,0
84,0,"Carrau, Mr. Francisco M",male,28.0,47.1,0,1
85,1,"Ilett, Miss. Bertha",female,17.0,10.5,0,1
86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,15.85,0,1
87,0,"Ford, Mr. William Neal",male,16.0,34.375,0,1
88,0,"Slocovski, Mr. Selman Francis",male,,8.05,0,1
89,1,"Fortune, Miss. Mabel Helen",female,23.0,263.0,0,1
90,0,"Celotti, Mr. Francesco",male,24.0,8.05,0,1
91,0,"Christmann, Mr. Emil",male,29.0,8.05,0,1
92,0,"Andreasson, Mr. Paul Edvin",male,20.0,7.8542,0,1
93,0,"Chaffee, Mr. Herbert Fuller",male,46.0,61.175,0,1
94,0,"Dean, Mr. Bertram Frank",male,26.0,20.575,0,1
95,0,"Coxon, Mr. Daniel",male,59.0,7.25,0,1
96,0,"Shorney, Mr. Charles Joseph",male,,8.05,0,1
97,0,"Goldschmidt, Mr. George B",male,71.0,34.6542,0,0
98,1,"Greenfield, Mr. William Bertram",male,23.0,63.3583,0,0
99,1,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,23.0,0,1
100,0,"Kantor, Mr. Sinai",male,34.0,26.0,0,1
101,0,"Petranec, Miss. Matilda",female,28.0,7.8958,0,1
102,0,"Petroff, Mr. Pastcho (""Pentcho"")",male,,7.8958,0,1
103,0,"White, Mr. Richard Frasar",male,21.0,77.2875,0,1
104,0,"Johansson, Mr. Gustaf Joel",male,33.0,8.6542,0,1
105,0,"Gustafsson, Mr. Anders Vilhelm",male,37.0,7.925,0,1
106,0,"Mionoff, Mr. Stoytcho",male,28.0,7.8958,0,1
